fecha,estacion,cape,cins
 16 May 2015, 72440, 1193.09, -10.90
 17 May 2015, 72440, 0.00, 0.00
 18 May 2015, 72440, 1299.76, -20.49
 19 May 2015, 72440, 0.00, 0.00
 20 May 2015, 72440, 0.00, 0.00
 21 May 2015, 72440, 0.02, 0.00
 22 May 2015, 72440, 0.00, 0.00
 23 May 2015, 72440, 0.00, 0.00
 24 May 2015, 72440, 70.41, -66.76
 25 May 2015, 72440, 39.76, -118.46
 26 May 2015, 72440, 22.67, -0.06
 27 May 2015, 72440, 1132.95, -26.63
 28 May 2015, 72440, 1285.91, -27.84
 29 May 2015, 72440, 252.14, -81.74
 30 May 2015, 72440, 66.84, -0.47
 31 May 2015, 72440, 0.00, 0.00
 01 Jun 2015, 72440, 0.00, 0.00
 02 Jun 2015, 72440, 0.00, 0.00
 03 Jun 2015, 72440, 1.48, -315.35
 04 Jun 2015, 72440, 708.21, -79.21
 05 Jun 2015, 72440, 1296.64, -53.35
 06 Jun 2015, 72440, 311.60, -127.73
 07 Jun 2015, 72440, 1024.39, -106.01
 08 Jun 2015, 72440, 474.16, -73.75
 09 Jun 2015, 72440, 0.00, 0.00
 10 Jun 2015, 72440, 991.69, -116.13
 11 Jun 2015, 72440, 260.50, -110.30
 12 Jun 2015, 72440, 1148.37, -36.73
 13 Jun 2015, 72440, 801.08, -7.47
 14 Jun 2015, 72440, 474.43, -17.95
 15 Jun 2015, 72440, 532.30, -32.34
 16 Jun 2015, 72440, 677.34, -0.07
 17 Jun 2015, 72440, 168.73, -42.18
 18 Jun 2015, 72440, 211.78, -35.92
 19 Jun 2015, 72440, 177.23, 0.00
 20 Jun 2015, 72440, 672.99, -232.81
 21 Jun 2015, 72440, 1464.15, -221.36
 22 Jun 2015, 72440, 1913.97, -0.71
 23 Jun 2015, 72440, 2411.46, -102.14
 24 Jun 2015, 72440, 2399.15, -66.25
 25 Jun 2015, 72440, 2158.35, -98.61
 26 Jun 2015, 72440, 11.80, -279.26
 27 Jun 2015, 72440, 4.07, -0.06
 28 Jun 2015, 72440, 0.00, 0.00
 29 Jun 2015, 72440, 922.02, -69.67
 30 Jun 2015, 72440, 283.06, -57.69
 01 Jul 2015, 72440, 95.35, -195.78
 02 Jul 2015, 72440, 339.79, -161.05
 03 Jul 2015, 72440, 1428.58, 0.00
 04 Jul 2015, 72440, 101.12, -265.40
 05 Jul 2015, 72440, 2120.37, -18.87
 06 Jul 2015, 72440, 1358.93, -42.83
 07 Jul 2015, 72440, 944.91, -2.77
 08 Jul 2015, 72440, 265.21, -31.43
 09 Jul 2015, 72440, 89.26, 0.00
 10 Jul 2015, 72440, 380.76, -72.75
 11 Jul 2015, 72440, 1031.97, -64.15
 12 Jul 2015, 72440, 837.23, -115.10
 13 Jul 2015, 72440, 1160.45, -269.33
 14 Jul 2015, 72440, 2342.46, -161.22
 15 Jul 2015, 72440, 3374.47, -31.54
 16 Jul 2015, 72440, 537.24, -177.34
 17 Jul 2015, 72440, 1233.57, -203.11
 18 Jul 2015, 72440, 1054.51, -181.37
 19 Jul 2015, 72440, 1150.36, -175.99
